athee (athiban (ATHEE) from directory H:\a1\SparkGamers\TheWar_source\TW_source\TW_source\TheWar.exe) from IP 157.50.75.102, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.99.28, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.97.193, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
king (hp (ABHI) from directory F:\TheWar\TheWar.exe) from IP 157.36.251.193, computer ID IzPZLle0yqeoDswNcd00ltZho4C
Sylvia (Lookpla (LAPTOP-I35FA285) from directory C:\Users\Lookpla\Downloads\TheWar\TheWar\TheWar.exe) from IP 119.76.33.138, computer ID kNG+1YPILlsMMm1RX0d2wp/BE1I
MilkyWayGalaxy (ELCOT (LENOVO) from directory C:\Users\ELCOT\Downloads\TheWar\TheWar.exe) from IP 223.182.194.74, computer ID 8f+ipOkWUNthezFW7hRr4s1C2dW
Jay (Mangirdas (DESKTOP-NE1A0AB) from directory C:\Users\MANGIR~1\AppData\Local\Temp\Rar$EXa16948.19247\TheWar\TheWar.exe) from IP 78.58.39.86, computer ID xYlJWNOYSxNbzrshV7sfCfSEwS4
tiger (mister zaib (DESKTOP-62DOR4L) from directory D:\games\TheWar\TheWar\TheWar.exe) from IP 111.119.183.28, computer ID fp3fnmM4mcEOfmq1lb1BYXrZYTg
praneeth2005 (Manohar (DESKTOP-K2OK7TA) from directory C:\Users\Manohar\Desktop\games\TheWar\TheWar\TheWar.exe) from IP 183.83.38.69, computer ID I4bM2QJDCubeCtkaSpKVXAltZyJ
BabyMask (EddieC (DESKTOP-CCS5O0N) from directory C:\Users\EddieC\Downloads\TheWar\TheWar (Orig).exe) from IP 24.88.165.42, computer ID ZzflfzXYkaBGOA1EpHRnDSTmKl8
anil (anilk (DESKTOP-H0767O0) from directory C:\Users\anilk\OneDrive\Desktop\ggames\TheWar\TheWar\TheWar.exe) from IP 27.6.178.95, computer ID 0ABSMAexGBx29yP58ZTSuZF3CJE
SuperWorior (MALIK FARHANKHALIL (DESKTOP-AC3HH2M) from directory D:\TheWar\TheWar\TheWar.exe) from IP 111.119.187.61, computer ID DlMUJCQKFE+QNWlLzdb1EIdTolI
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.101.164, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.96.251, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
Aamir_Shafique (Aamir Shafique (AAMIRSHAFIQUE) from directory D:\TheWar\TheWar.exe) from IP 119.160.103.174, computer ID EOP5g2K6Lw9Y/0sCbbczhv4eyxt
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.97.23, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
arishpakistani (SOFTAGE (DESKTOP-39O6GI3) from directory E:\games\TheWar\TheWar.exe) from IP 119.160.98.81, computer ID MChcvwXikJ9O50xOzrhxaEsfusw
attaurrehman (Anonymous (DESKTOP-AA7JQ2C) from directory C:\Users\Anonymous\Downloads\TheWar\TheWar\TheWar.exe) from IP 39.50.56.9, computer ID a/d1xYsX7jEw3fbnQV4x9wo3v/Q
child (ahmad (DESKTOP-KI5FM25) from directory C:\Users\ahmad\AppData\Local\Temp\Rar$EXa12640.23520\TheWar\TheWar.exe) from IP 80.10.77.94, computer ID AorzaY/504J+KacAx43zRDI3FUQ
child (ahmad (DESKTOP-KI5FM25) from directory C:\Users\ahmad\Downloads\TheWar\TheWar\TheWar.exe) from IP 80.10.77.94, computer ID AorzaY/504J+KacAx43zRDI3FUQ
KingKiller (HP (UMERSIDIQ) from directory H:\softwares\games\TheWar\TheWar.exe) from IP 106.205.87.105, computer ID ZuSKg5H6YGr25MCoaFGjj4m2YAM
grenade (hai (HAI-PC) from directory C:\Users\hai\AppData\Local\Temp\Rar$EXa3584.16708\TheWar\TheWar.exe) from IP 42.119.237.207, computer ID kN3HmhtYN5XRxwDQPmDADura4sY
yarzarminkhant123345 (YarZar (DESKTOP-0V2SQO8) from directory D:\my software\computer\TheWar\TheWar\TheWar.exe) from IP 37.111.9.147, computer ID 0loeOTdnZS527XruUGmoZmNzdLB
teja2020 (DELL (DESKTOP-I5K7N8S) from directory C:\Users\DELL\Desktop\audio games\TheWar\TheWar.exe) from IP 223.237.56.252, computer ID upepHNV1w7Wa1TyizOg4EhFJGy8
mahi2000 (mahipal singh rathor (LAPTOP-413LVIOH) from directory D:\softwares\games\TheWar\TheWar\TheWar.exe) from IP 49.34.193.51, computer ID GGqvmxN5TWq7e+kJhU2GLfns9Z4
grenade (hai (HAI-PC) from directory C:\Users\hai\AppData\Local\Temp\Rar$EXa3584.21395\TheWar\TheWar.exe) from IP 42.119.237.207, computer ID kN3HmhtYN5XRxwDQPmDADura4sY
grenade (hai (HAI-PC) from directory C:\Users\hai\Desktop\TheWar\TheWar\TheWar.exe) from IP 42.119.237.207, computer ID kN3HmhtYN5XRxwDQPmDADura4sY
tiger (mister zaib (DESKTOP-62DOR4L) from directory D:\games\TheWar\TheWar\TheWar.exe) from IP 111.119.183.51, computer ID fp3fnmM4mcEOfmq1lb1BYXrZYTg
MilkyWayGalaxy (ELCOT (LENOVO) from directory C:\Users\ELCOT\Downloads\TheWar\TheWar.exe) from IP 223.182.203.133, computer ID 8f+ipOkWUNthezFW7hRr4s1C2dW
theloser (user1 (USER) from directory C:\Users\user1\Documents\Desktop\TheWar\TheWar.exe) from IP 157.42.248.15, computer ID wsBYYxc0ku/t/VD7ChIQOCvwtxi
krish (R.K (DESKTOP-MGA8R0R) from directory C:\Users\R.K\AppData\Local\Temp\Rar$EXa0.550\TheWar\TheWar.exe) from IP 59.94.103.189, computer ID P9WgJu/UEpu7d3RusBQsKLfYkyU
krish (R.K (DESKTOP-MGA8R0R) from directory E:\New folder (3)\TheWar\TheWar\TheWar\TheWar.exe) from IP 59.94.103.189, computer ID P9WgJu/UEpu7d3RusBQsKLfYkyU
theloser (user1 (USER) from directory C:\Users\user1\Documents\Desktop\TheWar\TheWar.exe) from IP 157.42.64.177, computer ID wsBYYxc0ku/t/VD7ChIQOCvwtxi
david (ermel (ERMELINDA-PC) from directory C:\Users\ermel\Downloads\TheWar\TheWar.exe) from IP 151.47.54.96, computer ID kmNFiBmNYes5SxZVO7L5KAM2TWE
Brigadier (LENOVO (DESKTOP-137TP43) from directory C:\Users\LENOVO\OneDrive\Desktop\games\TheWar\TheWar.exe) from IP 106.204.64.228, computer ID F8UAALx58uaqiG7CsXQyLBPsenE
afnan (Afnan Nasir Mughal (DESKTOP-3H8BNVV) from directory D:\unsafe folder\TheWar\TheWar.exe) from IP 119.160.101.23, computer ID wRd5e1iPhZ3No0gtwXSV/fzjAh6
gurindersingh (LENOVO (DESKTOP-137TP43) from directory C:\Users\LENOVO\OneDrive\Desktop\games\TheWar\TheWar.exe) from IP 106.204.64.228, computer ID F8UAALx58uaqiG7CsXQyLBPsenE
brigadier (LENOVO (DESKTOP-137TP43) from directory C:\Users\LENOVO\OneDrive\Desktop\games\TheWar\TheWar.exe) from IP 106.204.64.228, computer ID F8UAALx58uaqiG7CsXQyLBPsenE
Manzoor (user (HP) from directory E:\games\TheWar\TheWar.exe) from IP 47.31.189.226, computer ID cK7ZINqxD9HNKElOeJeuuBiHjxg
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.99.114, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
arishpakistani (SOFTAGE (DESKTOP-39O6GI3) from directory E:\games\TheWar\TheWar.exe) from IP 119.160.98.176, computer ID MChcvwXikJ9O50xOzrhxaEsfusw
theloser (user1 (USER) from directory C:\Users\user1\Documents\Desktop\TheWar\TheWar.exe) from IP 157.42.87.211, computer ID wsBYYxc0ku/t/VD7ChIQOCvwtxi
MilkyWayGalaxy (ELCOT (LENOVO) from directory C:\Users\ELCOT\Downloads\TheWar\TheWar.exe) from IP 223.182.192.150, computer ID 8f+ipOkWUNthezFW7hRr4s1C2dW
killer3000 (Prashant (PRASHANT) from directory D:\TheWar\TheWar\TheWar.exe) from IP 157.37.27.8, computer ID Yj5F2q+/Xv16nQYrIGlgMPM8BBU
magistral (Ramil (DESKTOP-RBO8FII) from directory C:\Downloads\TheWar\TheWar.exe) from IP 217.118.93.110, computer ID 49sAteXyVbH3YjIJooAjDc7mwvf
anil (anilk (DESKTOP-H0767O0) from directory C:\Users\anilk\OneDrive\Desktop\ggames\TheWar\TheWar\TheWar.exe) from IP 27.6.103.133, computer ID 0ABSMAexGBx29yP58ZTSuZF3CJE
bhatti-is-here (sajawal bhatti (DESKTOP-K0QE41F) from directory C:\Users\sajawal bhatti\Desktop\TheWar\TheWar\vTheWar.exe) from IP 103.255.6.91, computer ID OsnCD+5kp/RDGuuocSq5bAUuIq0
king (hp (ABHI) from directory F:\TheWar\TheWar.exe) from IP 157.36.98.142, computer ID IzPZLle0yqeoDswNcd00ltZho4C
anmolpreetsingh (Admin (DESKTOP-J91PLSH) from directory D:\softtwares\games\TheWar\TheWar.exe) from IP 157.39.5.180, computer ID KOqcbAEKQ+QzZGkFlNyVGa69f1s
tiger (mister zaib (DESKTOP-62DOR4L) from directory D:\games\TheWar\TheWar\TheWar.exe) from IP 111.119.183.56, computer ID fp3fnmM4mcEOfmq1lb1BYXrZYTg
tanishq (HP (HP) from directory C:\Users\HP\Downloads\Compressed\TheWar\TheWar\TheWar.exe) from IP 120.57.189.63, computer ID MXxR5UbTX6Mu+nmf5DxFVF0WxNW
moinkhan (Lenovo (LAPTOP-QBF39BLU) from directory H:\Download\games\TheWar\TheWar\TheWar.exe) from IP 27.62.246.255, computer ID cpPBB0DN6hg7Q3XpJc264T12zPo
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\tW source\TW_source\TheWar.bgt) from IP 119.160.99.114, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
SuperWorior (MALIK FARHANKHALIL (DESKTOP-AC3HH2M) from directory D:\TheWar\TheWar\TheWar.exe) from IP 111.119.187.59, computer ID DlMUJCQKFE+QNWlLzdb1EIdTolI
killer3000 (Prashant (PRASHANT) from directory D:\TheWar\TheWar\TheWar.exe) from IP 157.47.207.216, computer ID Yj5F2q+/Xv16nQYrIGlgMPM8BBU
Urh2006 (urhst (URHEK) from directory C:\Users\urhst\Downloads\TheWar\TheWar\TheWar.exe) from IP 95.176.151.113, computer ID kF634kaqUtD48a9/JVYLj5EShB+
tanishq (HP (HP) from directory C:\Users\HP\Downloads\Compressed\TheWar\TheWar\TheWar.exe) from IP 120.57.184.5, computer ID MXxR5UbTX6Mu+nmf5DxFVF0WxNW
lovepreet (rj (DESKTOP-J24LO1Q) from directory C:\Users\rj\Desktop\softweres\TheWar developers\TW_source\TheWar.bgt) from IP 157.39.156.112, computer ID wq9E98aFWc4xRO7QMoMWZOdmHah
attaurrehman (Anonymous (DESKTOP-AA7JQ2C) from directory C:\Users\Anonymous\Downloads\TheWar\TheWar\TheWar.exe) from IP 39.50.82.158, computer ID a/d1xYsX7jEw3fbnQV4x9wo3v/Q
theloser (user1 (USER) from directory C:\Users\user1\Documents\Desktop\TheWar\TheWar.exe) from IP 157.42.74.128, computer ID wsBYYxc0ku/t/VD7ChIQOCvwtxi
king (hp (ABHI) from directory F:\TheWar\TheWar.exe) from IP 157.36.98.62, computer ID IzPZLle0yqeoDswNcd00ltZho4C
MilkyWayGalaxy (ELCOT (LENOVO) from directory C:\Users\ELCOT\Downloads\TheWar\TheWar.exe) from IP 223.182.194.31, computer ID 8f+ipOkWUNthezFW7hRr4s1C2dW
elijah (Alexander Elijah (DESKTOP-Q9HLKB2) from directory D:\audio games\TheWar\TheWar\TheWar.exe) from IP 69.160.26.154, computer ID /EB6OnrpTqwoHIoji3nVr56VFYI
tanishq (HP (HP) from directory C:\Users\HP\Downloads\Compressed\TheWar\TheWar\TheWar.exe) from IP 1.38.52.35, computer ID MXxR5UbTX6Mu+nmf5DxFVF0WxNW
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.100.139, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.103.35, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
KingKiller (HP (UMERSIDIQ) from directory H:\softwares\games\TheWar\TheWar.exe) from IP 106.205.87.129, computer ID ZuSKg5H6YGr25MCoaFGjj4m2YAM
tiger (mister zaib (DESKTOP-62DOR4L) from directory D:\games\TheWar\TheWar\TheWar.exe) from IP 45.116.235.114, computer ID fp3fnmM4mcEOfmq1lb1BYXrZYTg
yarzarminkhant123345 (YarZar (DESKTOP-0V2SQO8) from directory D:\my software\computer\TheWar\TheWar\TheWar.exe) from IP 37.111.13.118, computer ID 0loeOTdnZS527XruUGmoZmNzdLB
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.96.13, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
KingKiller (HP (UMERSIDIQ) from directory H:\softwares\games\TheWar\TheWar.exe) from IP 106.205.118.201, computer ID ZuSKg5H6YGr25MCoaFGjj4m2YAM
SuperWorior (MALIK FARHANKHALIL (DESKTOP-AC3HH2M) from directory D:\TheWar\TheWar\TheWar.exe) from IP 111.119.187.36, computer ID DlMUJCQKFE+QNWlLzdb1EIdTolI
bhatti-is-here (sajawal bhatti (DESKTOP-K0QE41F) from directory C:\Users\sajawal bhatti\Desktop\TheWar\TheWar\vTheWar.exe) from IP 103.255.7.5, computer ID OsnCD+5kp/RDGuuocSq5bAUuIq0
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.99.112, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
minzaw219264 (min zaw (DESKTOP-37T8GDM) from directory D:\software\TheWar\TheWar\TheWar.exe) from IP 37.111.9.11, computer ID IHRETHeP2VUhT5VIpcD2YafVejU
KingKiller (HP (UMERSIDIQ) from directory H:\softwares\games\TheWar\TheWar.exe) from IP 106.205.119.105, computer ID ZuSKg5H6YGr25MCoaFGjj4m2YAM
grenade (hai (HAI-PC) from directory C:\Users\hai\Desktop\TheWar\TheWar\TheWar.exe) from IP 42.119.238.131, computer ID kN3HmhtYN5XRxwDQPmDADura4sY
shahrukh (user (DESKTOP-CKB9DF0) from directory C:\Users\user\AppData\Local\Temp\Rar$EXa0.013\TheWar\TheWar.exe) from IP 157.51.41.64, computer ID Qj1NZEyUmuhvCrVamIKexejKJwr
shahrukh (user (DESKTOP-CKB9DF0) from directory F:\TheWar\TheWar\TheWar.exe) from IP 157.51.41.64, computer ID Qj1NZEyUmuhvCrVamIKexejKJwr
theloser (user1 (USER) from directory C:\Users\user1\Documents\Desktop\TheWar\TheWar.exe) from IP 157.42.75.143, computer ID wsBYYxc0ku/t/VD7ChIQOCvwtxi
theloser (user1 (USER) from directory C:\Users\user1\Documents\Desktop\TheWar\TheWar.exe) from IP 157.42.66.33, computer ID wsBYYxc0ku/t/VD7ChIQOCvwtxi
theloser (user1 (USER) from directory C:\Users\user1\Documents\Desktop\TheWar\TheWar.exe) from IP 157.42.81.95, computer ID wsBYYxc0ku/t/VD7ChIQOCvwtxi
tiger (mister zaib (DESKTOP-62DOR4L) from directory D:\games\TheWar\TheWar\TheWar.exe) from IP 111.119.183.25, computer ID fp3fnmM4mcEOfmq1lb1BYXrZYTg
mahi2000 (mahipal singh rathor (LAPTOP-413LVIOH) from directory D:\softwares\games\TheWar\TheWar\TheWar.exe) from IP 49.34.204.226, computer ID GGqvmxN5TWq7e+kJhU2GLfns9Z4
MilkyWayGalaxy (ELCOT (LENOVO) from directory C:\Users\ELCOT\Downloads\TheWar\TheWar.exe) from IP 223.182.207.195, computer ID 8f+ipOkWUNthezFW7hRr4s1C2dW
david (ermel (ERMELINDA-PC) from directory C:\Users\ermel\Downloads\TheWar\TheWar.exe) from IP 151.43.193.240, computer ID kmNFiBmNYes5SxZVO7L5KAM2TWE
MilkyWayGalaxy (ELCOT (LENOVO) from directory C:\Users\ELCOT\Downloads\TheWar\TheWar.exe) from IP 223.181.233.176, computer ID 8f+ipOkWUNthezFW7hRr4s1C2dW
elijah (Alexander Elijah (DESKTOP-Q9HLKB2) from directory D:\audio games\TheWar\TheWar\TheWar.exe) from IP 69.160.29.87, computer ID /EB6OnrpTqwoHIoji3nVr56VFYI
moinkhan (Lenovo (LAPTOP-QBF39BLU) from directory H:\Download\games\TheWar\TheWar\TheWar.exe) from IP 106.207.225.211, computer ID cpPBB0DN6hg7Q3XpJc264T12zPo
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.99.76, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
david (ermel (ERMELINDA-PC) from directory C:\Users\ermel\Downloads\TheWar\TheWar.exe) from IP 151.43.150.27, computer ID kmNFiBmNYes5SxZVO7L5KAM2TWE
tanishq (HP (HP) from directory C:\Users\HP\Downloads\Compressed\TheWar\TheWar\TheWar.exe) from IP 120.57.189.69, computer ID MXxR5UbTX6Mu+nmf5DxFVF0WxNW
grenade (hai (HAI-PC) from directory C:\Users\hai\Desktop\TheWar\TheWar\TheWar.exe) from IP 42.119.237.186, computer ID kN3HmhtYN5XRxwDQPmDADura4sY
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.97.149, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
MilkyWayGalaxy (ELCOT (LENOVO) from directory C:\Users\ELCOT\Downloads\TheWar\TheWar.exe) from IP 223.181.241.204, computer ID 8f+ipOkWUNthezFW7hRr4s1C2dW
radikesh (Kesav (RATHA-KESHAV) from directory H:\Audio Games\The War\TheWar\TheWar\TheWar.exe) from IP 157.46.70.198, computer ID 8YVEO31rgufSroKxZiUf2j23HEg
king (hp (ABHI) from directory F:\TheWar\TheWar.exe) from IP 157.36.100.51, computer ID IzPZLle0yqeoDswNcd00ltZho4C
moinkhan (Lenovo (LAPTOP-QBF39BLU) from directory H:\Download\games\TheWar\TheWar\TheWar.exe) from IP 106.208.172.175, computer ID cpPBB0DN6hg7Q3XpJc264T12zPo
KingKiller (HP (UMERSIDIQ) from directory H:\softwares\games\TheWar\TheWar.exe) from IP 106.205.120.230, computer ID ZuSKg5H6YGr25MCoaFGjj4m2YAM
KashifAwan (kashif-awan (DESKTOP-0456J8G) from directory D:\folder kashif awan\Softwares\computer softwares\games\TheWar\TheWar\TheWar.exe) from IP 111.119.187.50, computer ID MUr7g0CT2291SfQoIE38bwfHXfZ
MilkyWayGalaxy (ELCOT (LENOVO) from directory C:\Users\ELCOT\Downloads\TheWar\TheWar.exe) from IP 223.182.195.147, computer ID 8f+ipOkWUNthezFW7hRr4s1C2dW
david (ermel (ERMELINDA-PC) from directory C:\Users\ermel\Downloads\TheWar\TheWar.exe) from IP 151.37.167.141, computer ID kmNFiBmNYes5SxZVO7L5KAM2TWE
arishpakistani (SOFTAGE (DESKTOP-39O6GI3) from directory E:\games\TheWar\TheWar.exe) from IP 119.160.101.4, computer ID MChcvwXikJ9O50xOzrhxaEsfusw
MilkyWayGalaxy (ELCOT (LENOVO) from directory C:\Users\ELCOT\Downloads\TheWar\TheWar.exe) from IP 223.181.197.45, computer ID 8f+ipOkWUNthezFW7hRr4s1C2dW
arishpakistani (SOFTAGE (DESKTOP-39O6GI3) from directory E:\games\TheWar\TheWar.exe) from IP 119.160.103.225, computer ID MChcvwXikJ9O50xOzrhxaEsfusw
smart (bluestar (DESKTOP-DG0EPE3) from directory E:\games\tk\TheWar\TheWar.exe) from IP 157.51.177.242, computer ID FfNSgpih9U4Zy2Dm1k0bTo5/Lu8
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.102.80, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
superkaur (hp (DESKTOP-55ADKC2) from directory C:\Users\hp\Desktop\bani\TheWar\TheWar.exe) from IP 103.41.38.145, computer ID aYV3cRHqAivjmRKSm9uSS0V+LH4
arman499 (muham (DESKTOP-J0JE4PK) from directory C:\Users\muham\Dropbox\My PC (DESKTOP-J0JE4PK)\Desktop\TheWar\TheWar\TheWar.exe) from IP 39.45.167.246, computer ID CaoD+u62GUqcJ5ZV/xbJY32Jr3o
jaihanuman (ok (DESKTOP-LT2BDPJ) from directory C:\Users\ok\Desktop\Games\TheWar\TheWar.exe) from IP 157.37.173.141, computer ID rpg29vEy4cLm2VhEW2Snl4Ql+Ac
arishpakistani (SOFTAGE (DESKTOP-39O6GI3) from directory E:\games\TheWar\TheWar.exe) from IP 119.160.99.177, computer ID MChcvwXikJ9O50xOzrhxaEsfusw
tiger (mister zaib (DESKTOP-62DOR4L) from directory D:\games\TheWar\TheWar\TheWar.exe) from IP 111.119.183.40, computer ID fp3fnmM4mcEOfmq1lb1BYXrZYTg
SuperMan (riazu (DESKTOP-150K1HL) from directory D:\gaming\TheWar\TheWar.exe) from IP 192.140.149.72, computer ID UzI7pvBiZrLwsSAER/CF+A8BtnW
tiger (mister zaib (DESKTOP-62DOR4L) from directory D:\games\TheWar\TheWar\TheWar.exe) from IP 182.190.109.221, computer ID fp3fnmM4mcEOfmq1lb1BYXrZYTg
david (ermel (ERMELINDA-PC) from directory C:\Users\ermel\Downloads\TheWar\TheWar.exe) from IP 151.43.134.158, computer ID kmNFiBmNYes5SxZVO7L5KAM2TWE
david (ermel (ERMELINDA-PC) from directory C:\Users\ermel\Downloads\TheWar\TheWar.exe) from IP 151.57.189.11, computer ID kmNFiBmNYes5SxZVO7L5KAM2TWE
KingKiller (HP (UMERSIDIQ) from directory H:\softwares\games\TheWar\TheWar.exe) from IP 106.205.89.71, computer ID ZuSKg5H6YGr25MCoaFGjj4m2YAM
JohnCina (A M (A) from directory C:\Users\A M\Dropbox\TheWar developers\TW_source\TheWar.bgt) from IP 39.36.73.184, computer ID YtWBGTkTBGLx9LVk0rPwmhuDsJU
grenade (hai (HAI-PC) from directory C:\Users\hai\Desktop\TheWar\TheWar\TheWar.exe) from IP 42.119.237.193, computer ID kN3HmhtYN5XRxwDQPmDADura4sY
yarzarminkhant123345 (YarZar (DESKTOP-0V2SQO8) from directory D:\my software\computer\TheWar\TheWar\TheWar.exe) from IP 37.111.11.21, computer ID 0loeOTdnZS527XruUGmoZmNzdLB
theloser (user1 (USER) from directory C:\Users\user1\Documents\Desktop\TheWar\TheWar.exe) from IP 157.42.79.80, computer ID wsBYYxc0ku/t/VD7ChIQOCvwtxi
mahi2000 (mahipal singh rathor (LAPTOP-413LVIOH) from directory D:\softwares\games\TheWar\TheWar\TheWar.exe) from IP 49.34.204.209, computer ID GGqvmxN5TWq7e+kJhU2GLfns9Z4
theloser (user1 (USER) from directory C:\Users\user1\Documents\Desktop\TheWar\TheWar.exe) from IP 157.42.90.216, computer ID wsBYYxc0ku/t/VD7ChIQOCvwtxi
theloser (user1 (USER) from directory C:\Users\user1\Documents\Desktop\TheWar\TheWar.exe) from IP 157.42.66.220, computer ID wsBYYxc0ku/t/VD7ChIQOCvwtxi
samkarthik (s.veerappan (DESKTOP-QFL1REN) from directory E:\TheWar\TheWar\TheWar.exe) from IP 157.46.71.210, computer ID Qg0yEu82hJRyJ/p3gUGIf9VIUWw
MilkyWayGalaxy (ELCOT (LENOVO) from directory C:\Users\ELCOT\Downloads\TheWar\TheWar.exe) from IP 223.181.224.127, computer ID 8f+ipOkWUNthezFW7hRr4s1C2dW
moinkhan (Lenovo (LAPTOP-QBF39BLU) from directory H:\Download\games\TheWar\TheWar\TheWar.exe) from IP 106.207.213.27, computer ID cpPBB0DN6hg7Q3XpJc264T12zPo
arishpakistani (SOFTAGE (DESKTOP-39O6GI3) from directory E:\games\TheWar\TheWar.exe) from IP 119.160.103.138, computer ID MChcvwXikJ9O50xOzrhxaEsfusw
theloser (user1 (USER) from directory C:\Users\user1\Documents\Desktop\TheWar\TheWar.exe) from IP 157.42.78.217, computer ID wsBYYxc0ku/t/VD7ChIQOCvwtxi
lovepreet (rj (DESKTOP-J24LO1Q) from directory C:\Users\rj\Desktop\softweres\TheWar developers\TW_source\TheWar.bgt) from IP 157.39.217.175, computer ID wq9E98aFWc4xRO7QMoMWZOdmHah
anmolpreetsingh (Admin (DESKTOP-J91PLSH) from directory D:\softtwares\games\TheWar\TheWar.exe) from IP 157.39.216.210, computer ID KOqcbAEKQ+QzZGkFlNyVGa69f1s
KashifAwan (kashif-awan (DESKTOP-0456J8G) from directory D:\folder kashif awan\Softwares\computer softwares\games\TheWar\TheWar\TheWar.exe) from IP 111.119.187.26, computer ID MUr7g0CT2291SfQoIE38bwfHXfZ
king (hp (ABHI) from directory F:\TheWar\TheWar.exe) from IP 157.36.66.48, computer ID IzPZLle0yqeoDswNcd00ltZho4C
MoonShadow (Myat Ko Ko (MYATKOKO) from directory G:\TheWar 6.4\TheWar.exe) from IP 65.18.126.255, computer ID ELm0z7zVxugyfTrEjMS31vNW5ic
moinkhan (Lenovo (LAPTOP-QBF39BLU) from directory H:\Download\games\TheWar\TheWar\TheWar.exe) from IP 106.208.171.209, computer ID cpPBB0DN6hg7Q3XpJc264T12zPo
theloser (user1 (USER) from directory C:\Users\user1\Documents\Desktop\TheWar\TheWar.exe) from IP 157.42.93.96, computer ID wsBYYxc0ku/t/VD7ChIQOCvwtxi
king (hp (ABHI) from directory F:\TheWar\TheWar.exe) from IP 157.36.86.136, computer ID IzPZLle0yqeoDswNcd00ltZho4C
arishpakistani (SOFTAGE (DESKTOP-39O6GI3) from directory E:\games\TheWar\TheWar.exe) from IP 119.160.99.7, computer ID MChcvwXikJ9O50xOzrhxaEsfusw
MilkyWayGalaxy (ELCOT (LENOVO) from directory C:\Users\ELCOT\Downloads\TheWar\TheWar.exe) from IP 223.181.245.218, computer ID 8f+ipOkWUNthezFW7hRr4s1C2dW
MilkyWayGalaxy (ELCOT (LENOVO) from directory C:\Users\ELCOT\Downloads\TheWar\TheWar.exe) from IP 223.182.198.234, computer ID 8f+ipOkWUNthezFW7hRr4s1C2dW
jaihanuman (ok (DESKTOP-LT2BDPJ) from directory C:\Users\ok\Desktop\Games\TheWar\TheWar.exe) from IP 157.37.56.194, computer ID rpg29vEy4cLm2VhEW2Snl4Ql+Ac
MilkyWayGalaxy (ELCOT (LENOVO) from directory C:\Users\ELCOT\Downloads\TheWar\TheWar.exe) from IP 106.198.57.167, computer ID 8f+ipOkWUNthezFW7hRr4s1C2dW
maazbokhari (Bukhari (DESKTOP-FKEQ1MP) from directory C:\Users\Bukhari\Downloads\TheWar\TheWar.exe) from IP 103.217.177.178, computer ID C4qXaWHmAo5Bvuv/KC9u1pFtnMc
night-wolf (night-wolf (DESKTOP-B0QINDN) from directory C:\Users\night-wolf\Downloads\Compressed\TheWar\TheWar\TheWar.exe) from IP 141.226.182.192, computer ID vWxN66RpvvL8M7dvif4Lm87Ee0Q
Brigadier (LENOVO (DESKTOP-137TP43) from directory C:\Users\LENOVO\OneDrive\Desktop\games\TheWar\TheWar.exe) from IP 106.220.96.195, computer ID F8UAALx58uaqiG7CsXQyLBPsenE
MilkyWayGalaxy (ELCOT (LENOVO) from directory C:\Users\ELCOT\Downloads\TheWar\TheWar.exe) from IP 223.181.233.73, computer ID 8f+ipOkWUNthezFW7hRr4s1C2dW
